,Location,new_reviews,Comp
363,NYC,do not like much awful mismatched decor scary people stay hotel one answer phone terrible price value read read less,Negative
364,"Las Vegas, NV",room pleasing eye king bed comfortable try get room away elevator elevator be not noisy dinging door open noticeable since get early do not take away pleasantness stay many people be not use late night read read less,Positive
365,Vegas,good value price would stay wish food option past 10 p.m. read read less,Positive
366,"La Canada, CA",love hotel stay twice perfect location room small clean need excellent 24 hour diner love staff friendly love read read less,Positive
367,"New Haven, CT",location central travel plan concert madison square garden night pleasantly surprise noise bothersome 25th floor room small frill clean adequate need overall would recommend read read less,Positive
368,"Scituate, MA",great location old nyc style staff always pleasant read read less,Positive
369,Seattle,able give expedia price check hotel tired worn read read less,Negative
370,Roseville Ca.,great location online say south times square close walk worth money shower door strip fall staff forgot put wash cloth bathroom wife return evening 3 rat cross sidewalk front -PRON- 30 foot reach hotel front door staff say responsible thing outside hotel small coffee restaurant 375 guest read read less,Positive
371,"New Boston, MI",absolutely perfect view amazing arrive staff friendly quick make sure take care read read less,Positive
372,"Auckland, New Zealand",find facility offer wyndham bonnet creek property fantastic lazy river mini golf bbq area eatery great place relax full day disney world road universal parks 20min drive away also lot plan activity around complex hotel dint really advise actually find activity area one tower -PRON- be sure would advise -PRON- ask reception couple downside laundry facility stay 16 night need washing complex do not laundry drop service could find 2025mins away drop pickup 2hrs house keeping also let hotel threee day row kid bunk bed make couple day towel replace take replace daughter bed one night sheet blanket lot small thing pay good amount money also expect read read less,Positive
373,us,guy check -PRON- should not hospitality industry horrible attitude read read less,Neutral
374,Tesero,posizione comodavicino alla pennstation si raggiunge tutto molto facilmente read read less,Neutral
375,Los Angeles,bed super comfortable room nice clean read read less,Positive
376,"Aguadilla, P.R.",nos gusto que habia de todo lo necesario habia transportacioncomidafarmaciatiendas el hotel el arededor nos encanto tenemos nada negativo que decir read read less,Neutral
377,"Long Island, NY",liked pool hot tub location important key resort everything either walk distance less drive major theme park read read less,Positive
378,Fort. Wayne Indiana,food hotel tasty chef personable attentive hotel smell wonderfully pool area nice shuttle bus airport efficient time read read less,Positive
379,Key Largo,get zero sleep due thin wall wall thin could smell neighbor cologne perfume put neighbor overly loud obnoxious wall thin hear man burp awful unfortunate beautiful lobby pool can not get adequate sleep thise thing become void normally stay b resort come decide try pool kid would not stay read read less,Negative
380,New York,nothing wrong property luxurious well keep cleanliness also plus staff however incompetent rude could not even pay fee check early girl counter say call manager see room ready honestly feel like do not want deal 5 people keep wait elderly couple check right get room everyone else force wait 3 p.m. do not call manager phone texte check elderly couple answer personal phone chat talk unprofessional thing happen check need room hour get sleep do not even stay whole night -PRON- be wait counter least 510 minute someone assist mind 2 girl counter time around line one lobby one actually phone customer obviously could not help fine one texte phone completely ignore really unsatisfied staff one one actually make feel like value customer man check smile approach attentive check timely manner explain use shower breakfast hour need fire 2 girl always phone read read less,Neutral
381,"Allentown, NJ",third time stay kid love fact access four pool mini golf great activity however time issue house clean first day wake -PRON- early continuously knock open door second day leave ton towel dress table third day room be not even make manager front desk staff excellent genuinely apologize manager duty personally attend -PRON- clean even compe resort fee day property excellent location service cleanliness amenity top notch read read less,Positive
382,"Williamston, NC",hide fee pay extra 300 mention book expedia card enough pay expedia total room think -PRON- would charge extra 300 ridiculous girl work registration idea answer question extra charge think name monica anyway ever stay steer anyone know away book wyndham read read less,Negative
383,"Short Hills, NJ",check around 200am morning clerk give -PRON- key room 2 queensize bed instead one book via expedia 2 bed plus 1 bunker bed soon find discrepancy rush front desk first man haughty tell room type order pay even without apology situation request partial refund refuse say book room via expedia ask refund compensation expedia hotel directly cross continue explain guy bunker bed promise daughter daughter frustrate maybe due persistence last tell last room book since guest have not show yet agree change -PRON- room 300 finally move room bunker experience undergo unhappy say really costly hotel unsatisfye customer service synch charge think deserve apology will not recommend read read less,Negative
384,"Oceanside, ca",pretty much area around property suck thought money would little around read read less,Neutral
385,"Montreal, ca",wife love hotel great location different attraction clean room great rooftop terrace go back ny definitely go stay hotel read read less,Positive
386,Newark,nice pool area buy furniture room broken paint chip room part hotel look old need renovate hand staff beyond friendly staff rude unfriendly food drink outside hotel supermarket -PRON- be rip read read less,Neutral
387,Québec,belle piscine beau hall dentrée bâtiment désuet frais caché à larrivée read read less,Neutral
388,"Ell Paso, TX us",room door dirt upholstery dresser rip floor room entrance dusty around bathtub rusty good breakfast read read less,Neutral
389,"SF, CA",location great staff accommodate helpful read read less,Positive
390,"WPB, FL",convenient disney area park shop good hotel quick get away weekend fl resident relax top notch spa service read read less,Positive
391,Bordeaux,hôtel mythique emplacement idéal à deux pas de l hudson yard read read less,Neutral
392,JAPAN,無料の送迎シャトルバスにてディズニーエリアまで行けます read read less,Neutral
393,Plattsburgh ny,issue property be not aware continental breakfast overhear someone discuss possibly signage read read less,Neutral
394,"Grand Rapids, Mn",hotel immaculately clean access pool great sushi deep blu seafood grill wonderful bed comfy great choice hotel stay definitely worth money read read less,Positive
395,fremont,booked room family excite picture beautiful unfortunately arrive expect throughout whole stay whole staff rude helpful property like picture run fall apart cable wifi work 30 time hot tub dirty half jet work definitely will not recommend anyone read read less,Positive
396,"Warren, RI",honest love hotel facilityresort fee ludicrous wifi spotty good business center antiquate do not use gym pay many hotel do not charge include fee price room rather tack end strange business approach read read less,Positive
397,Minnesota,love close disney spring walk multiple time pool ok wish would little slide kid kid area pool room let much noise hard sleep put disturb sign daily still someone room go park good visit long get back hotel early two night could not find parking upset something pay extra daily feel able park pay front desk helpful say daily parking fee could use towards valet make little easy deal spot overall good deal nice able walk disney spring read read less,Positive
398,"Union, NJ",bottom floor hotel garden section 2 different building seem creepy single woman walk room walkways dimly light one around feel uncomfortable could not wait get room bed comfy bathroom although room size large sink tiny shower great counter space large bathroom bathroom ceiling low bedroom area strange front desk staff efficient really friendly confusing bus pickup transport theme park driver do not speak english well read read less,Neutral
399,"West Palm Beach, Florida",haleigh front desk helpful cute read read less,Positive
400,Virginia,would recommend expedia hotel include additional amenity charge 27 day price rip people like go conference look competitive price expedia water bottle cable tv working read read less,Positive
401,"Queens, ny",nice clean convient location take awhile 2 answer phone otherwise polite informative staff read read less,Positive
402,"Linz, at",das hotel ist älter aber einem sauberen zustand die zimmer waren stets gereinigt das personal freundlich und auch die lage des hotels war perfekt es war das meiste fußläufig zu erreichen einzige manko ist dass aufgrund des alters des hotel die teppiche etwas riechen read read less,Negative
403,Suitland md,room really date super small morning include fridge microwave etc read read less,Positive
404,"Riverside, California",room small ventilation restroom cause lot moisture great location staff read read less,Positive
405,"Port St. Lucie, Fl",beautiful art deco property much history staff excellent excel service professionalism definitely make favorite hotel frequent trip new york read read less,Positive
406,Apopka,exellent custumer serviceclean comfortroom read read less,Neutral
407,Washington DC,love get early check extra charge linda check absolutely wonderful highlight stay also love greeter open door do not love anything else hotel room small dark fan bathroom long hair back door smudge tub coffee adolescentcollege kid super loud next room sound seem go right wall also hate 37 service fee wifi aware go charge false advertising base price make distrust hate hotel getgo glad room nyc 200 location great -PRON- be try forget stay would never recommend read read less,Positive
408,"Monterey, US",stayed hotel 4 night really enjoy stay room stay third floor king bed include mini fridge microwave bathroom nice clean bed super comfortable pillow honestly do not anything complain would definitely stay worth price read read less,Positive
409,Roseville CA,unlike big hotel one right us room easy get right size property well maintain staff awesome especially stacy front desk back next time visit area read read less,Positive
410,Topeks Ks,property old date given handicapped room request read read less,Neutral
411,"Fredericton, New Brunswick, Canada",good location centrally locate access subway read read less,Neutral
412,"New York, ny",great customer service welcome willing help read read less,Positive
413,"Mequon, Wi",disney shuttle service nice close many non disney restaurant grocery store nightly clean service excellent fresh linens bed make clean towel read read less,Positive
414,"san jose, us",proximity disney spring great pool also nice read read less,Positive
415,Bozeman MT,staff friendly nice chat room old smell carpet be not clean everything room need update pay expect read read less,Positive
416,Nyc,room available send another hotel smell terrible read read less,Neutral
417,"Spring, TX",wyndham garden anaheim negative trip centrally locate walk distance disney amazing friendly staff front desk snackcoffee station restaurant security spotless update well appoint gate park easy check fitness center clean well equip can not say enough good thing property read read less,Positive
418,Las Vegas,great place stay enjoy beautiful courtyard read read less,Positive
419,"Mayaguez, PR",really near disney spring good hotel visit read read less,Neutral
420,Boston,hotel bus stop near convenient need go nearest subway go somewhere without car front desk staff friendly room bit small compare hotel neat clean first night checkedin late around 8 p.m. valet parking space hotel drive around neighborhood park car get valet park next night ok overall enjoy stay hotel read read less,Positive
421,"Boston, MA",superb staff great facility family fantastic stay highly recommend read read less,Positive
422,Myrtle Beach,great amenity quick check convenient disney read read less,Positive
423,"Portland, OR USA",room nice room end hall far walk everything even though be not book full restaurant date separate building across parking lot read read less,Neutral
424,Ruskin,way expectation problem check staff way help plan return soon read read less,Neutral
425,Delray Beach Florida,clean comfortable lot outside resort back read read less,Positive
426,Seattle,nice quiet relaxing busy day jacuzzi nice read read less,Positive
427,"Cedar Bluffs, Ne",super reasonable nice staff extremely helpful pool facility clean read read less,Positive
428,St. Louis Mo,room dirty air do not work call several time room service one answer would not recommend hotel read read less,Negative
429,kansas,nice hotel stay clean fair price would definitely repeat area read read less,Positive
430,Greenville SC,staff friendly helpful property well keep great location read read less,Positive
431,"Canoga Park, us",absolutely clean definitely well keep inside property read read less,Positive
432,West Suffield,accommodate every request second time visit back read read less,Neutral
433,"fort lauderdale, us",hotel nice staff friendly read read less,Positive
434,"San diego, us",nice room outside rundown noisy anyone talk outside room seem inside read read less,Neutral
435,"Falkirk,GB.",good locationnice ground pool area room tidy functional read read less,Neutral
436,Michigan,everything centrally locate plenty restaurant right strip read read less,Neutral
437,"Estero,FL",opinion unacceptable hotel room ready 4 p.m. check time arrive 355pm plan family shower travel leave 530pm get engagement 6 p.m. complain 445pm get room secondly call 8 a.m. speak concierge ticket agent theme park discount ticket next day specifically say would one day want visit one park ask discount purchase ticket agent hotel agent say yes 50 discount check say ok wait purchase ticket thereby wait select fast pass option upon arrrival hotel find discount one day ticket agent convenience fee ticket expensive purchase online -PRON- would appreciate honesty morning phone call instead duplicity bright note room clean two experience would never stay 4 p.m. check mean 4 p.m. check especially spend roughly 200 room night read read less,Positive
438,"Simi Valley, CA (USA)",property carry name wyndham honestly refurbish hotel maybe motel room way standard price charge go business trip fine wife would disappointing outside hotel ground homeless encampment company use name wyndham ploy opinion think would stay sorry read read less,Neutral
439,Wisconsin,kidfamily friendly would like well restaurant property kid pool bar great closed time rain can not help kid friendly restaurant hotel alternative read read less,Positive
440,"Sacramento, us",wonderful stay hotel staff courteous room nicely decorate clean get great value room excellent stay option anyone visit cupertino san jose gilroy area read read less,Positive
441,Los Angeles,nice size large family subway station diner cvs locate close read read less,Neutral
442,NY NY,first room small picture microwave fridge room even though expedia say would staff bring cart fridge microwave put floor ac work bathroom door collapse slit middle open door touch bed vend machine steal money call lobby use room phone one answer horrible stay read read less,Negative
443,Crown Point,nice hotel however music play pool 10 10 pm music hear throughout property extremely loud tend bit nuisance music be not nice mix sometimes want relax pool sit outside possible read read less,Positive
444,Irvine,bar staff awesome stay hotel good part read read less,Positive
445,New York,great resort pool close lot restaurant read read less,Positive
446,Fruitvale Tx.,within walk distance tourist attraction bed be not make cable do not work mention expedia do not mention additional fee upon check read read less,Neutral
447,mississauga,amazing resort stay close disney park free transportion parks park connect 3 resort whose amentie use include pool spa nelison great shuttle driver friendly staff approachable always friendly read read less,Positive
448,Ky,staff incredibly friendly pillow soft read read less,Positive
449,New York,like location amenity shuttle park tranquility read read less,Positive
450,"Horseheads,NY, us",property old well maintain room spacious comfortable pool area lovely free breakfast would lock -PRON- wyndom good eat enough morning justify 1200 charge breakfast amount coffee yogurt read read less,Positive
451,Auburn maine,staff fabulous room exit door loud along loud air conditioner get sleep first night second night tired shut air conditioning read read less,Neutral
452,New York,staffs nice elevator slow blackout drapery everyone see room privacy read read less,Neutral
453,"Santa Cruz, us",late night park bad land later 9 p.m. forget kind nearby parking read read less,Neutral
454,"Atlanta, GA",everything great room qas amazinf qith great view except go go check 300 per instruction say room would not ready another hour make big fuss sudden room clean ready -PRON- read read less,Positive
455,"Richmond, VA",outdoor spaces property group good part location pave walk around small lakelagoon take guest several different pool outdoor activity nightly firework nearby disney park light sky pool open late afterpark relaxation read read less,Positive
456,Wethersfield Ct,love proximity everythingtick take diner awesome read read less,Positive
457,Winter garden FL,loved property center everything want cleanliness great everyone really nice helpful read read less,Positive
458,"Palm Beach, us",room need improvement specifically bathroom dirty outdated read read less,Neutral
459,"Terre Haute, IN USA",well 3rd stay property two consecutive year first time place -PRON- wing bottom floor buggy insect damp smell insist stay main building past never sub ground level room read read less,Neutral
460,"Victoria, ca",enjoy disney store game room pool also like little bakerystore inside lobby great location bus disneyworld convenient read read less,Positive
461,"largo, fl",room warm bed uncomfortable whole room clean area be not quiet pool nice great atmosphere read read less,Positive
462,"Sacramento, CA",staff limit hard find two work front desk poor customer service especially big gentleman right rude tell hot tub order also tell continental breakfast yet girl front desk rudely point bar grill parking lot go bar grill wait 45 minute seat still tell breakfast work understaffed poor customer service give menu ask continental breakfast work include man help grab menu say continental walk away little later receive fruit surprisingly fresh hard pastry look taste day old coffee cup dirty acknowledge rest visit even thank etc way way room fair bathroom dirty old rust stain bar shower overall great place stay choose different hotel next time area read read less,Negative
463,"Portland, OR",pleased stay go disneyland hotel new nice clean room location excellent 23 full block park 10 min walk restaurant nearby bar lobby deal breakfast also right across street walgreen cvs really set hotel apart however customer service stacey staff really go way make -PRON- feel home well help resolve important lose luggage issue -PRON- already leave hotel fault definitely stay future trip disneyland highly recommend property read read less,Positive
464,Orlando FL,great location lot place eat tall swing fun ride clean ground well read read less,Positive
465,"Seattle, WA",location close airport convenient room nice supply two towel note reservation 3 guest room staff friendly hallway little dated stain carpet restaurant good enjoy food read read less,Positive
466,"Stuttgart, De",super freundliche personal tolle zimmer zwar sehr klein aber man ist ja eh nur zum schlafen dort und dafür ist es ausreichend read read less,Positive
467,Lehi,liked location noisy night air conditioning must work keep turn every 30 second be not clean keep expect bathroom do not fan mold grow corner room old need refurbishing read read less,Neutral
468,"Dubai, UAE",good location nice enough room helpful staff value money breakfast read read less,Positive
469,"Ashland, Oregon",hotel poor shape window dirtiest -PRON- have ever see hotel staff still have not set clock forward pool workout area room poorly design read read less,Negative
470,San Jose,easy check even let check 1 hour early read read less,Neutral
471,St. Lucie west,need makeup hallway lobby beautiful read read less,Positive
472,Carolina Puerto Rico,love location room confortable clean bed amazing read read less,Positive
473,LA,date toilet room need serious upgrade 4 faucet knob need vice grip open counterspace bathroom overall blah stay read read less,Neutral
474,Margate Florida,park extra fee time checkin aware read read less,Neutral
475,"Pensacola, us",great family kid bunk bed alcove room great kid pool great food back bay poolside great frequent shuttle schedule would great second stay property come read read less,Positive
476,"Zionsville, Pa",like close within walk distance disney spring wish characters character breakfast also day arrive able eat breakfast still wide variety choice next time eat little early be not many choice feel do not really get money worth day busing park helpful although would nice busing every 15 minute instead every 30 minute park opening closings bus extremely overcrowded room clean staff nice helpful definitely plan stay hopefully next time come weather warm try really cool look pool read read less,Positive
477,"Fountain Valley, US",room dirty smelly move different room twice get reasonable clean room hotel staff do not upgrade -PRON- well room provide comp stay read read less,Neutral
478,"Coral Springs, FL",do not like fact elevator also second time row visit hotel wake way early disruptive guest already complain management receive complementary breakfast -PRON- have stay many hotel since last visit seem like wall paper thin happy may final time stay family read read less,Negative
479,Coatbridge Scotland,clean central everything within walk distance sight definitely back super helpful friendly staff great food option site read read less,Positive
480,"Elkhart, IN",daughter like pool lot frustrated lack information parking everything else okay stellar bad sufficient customer service experience read read less,Negative
481,Port St. Lucie,less 5 minute walk disney springs walkway street traffic wait walk disney spring read read less,Neutral
482,"Los Angeles, us",room extremely dirty sofa bed unimaginable stain carpet extremely dirty smell read read less,Negative
483,"Honolulu, Hawaii",friendly staff clean big room adequate would stay read read less,Positive
484,"Hillsboro,Oregon",hotel clean convenient get safe comfortable stay dollar read read less,Positive
485,"New York, NY",room bit small staff wonderful room service disappointing read read less,Neutral
486,"London, OH",new yorker second home -PRON- return customer never disappoint truly classy place stay location can not beat read read less,Neutral
487,"Hilo, HI, U.S.",relatively quiet attractive ground clean staff excellent read read less,Positive
488,Michigan,clean update hotel middle chinatown restaurant shop close read read less,Neutral
489,"Danvers, MA",hotel vintage new york feel like everything small issue water temperature shower hard adjust get right read read less,Neutral
490,"Portsmouth, RI",property clean inside sometimes bottle cup ground garden area staff excellent help print document need trip last morning assist new transportation airport shuttle cancel 400am stay read read less,Positive
491,"Upland, US",like cleanliness property disappoint gym monitor machine do not work read read less,Neutral
492,Chino Hills,clean nice staff shower drain actually drain read read less,Positive
493,"Ottawa, ca",wonderful location heart new york city convenient train subway major shopping read read less,Positive
494,Chicago,benefit disney resort without price convenient free transportation park walk distance disney springs staff friendly helpful need rent car staying trip disney focus read read less,Positive
495,Orlando us,staff excellent make feel like one read read less,Positive
496,"New Orleans, USA",check 3 p.m. early 50 feea far travel nyc that s first hotel charge early check hotel do not check available room ready guess didntt like part hotel nice read read less,Positive
497,"Miami, FL, US",place give motel vibe do not know area outside look outdate good job fool modern look room floor dusty dirty even housekeeping come still dirty sheet also feel dirty curtain almost break -PRON- try close -PRON- be look peaceful night sleep place paper thin wall hear people hallway hear room next door downstairs definitely stay especially charge night read read less,Neutral
498,"Orlando, fl",be not happy parking charge allergy free breakfast order 30 minute cook read read less,Neutral
499,Lewiston NY,staff amazing efficient make check breeze happy willing help everything stay lot hotel far 1 family back read read less,Positive
500,Stoke on Trent UK,hotel perfect place fantastic stay staff lovely read read less,Positive
501,"Miami, Fl.",hotel nice atmosphere beds comfortable complaint hotel long hold luggage arrive early charge 50 check early even room already available clean room daily make bed change towel read read less,Positive
502,Ant landing ga,nice pleasant always clean n nice environment stay read read less,Positive
503,"Clinton, MD",nice hotel area restaurant store room small bed good value read read less,Positive
504,Gainesville florida,walk lobby nice get room completely different room look clean go bathroom tub dirty take shower water will not drain wait 1520mins water drain water completely drain tub disgusting wall paper thing could hear people room next -PRON- also loud music mangos night club across street room staff nice helpful good experience hotel read read less,Positive
505,Immokalee fl,love man make pond center property property clean read read less,Positive
506,"s
 St. Petersburg, Florida",checkin little disappointing try check long day 3 p.m. tell room unavailable travel daughter volleyball team family get room stay pleasant pool great daughter friend blast read read less,Positive
507,Colorado,1 hotel clean 2 nice pool kid 3 house keep either come early clean room 0900 really late 3 p.m. 4 parking machine do not work try pay cc read read less,Positive
508,"Winston-Salem, NC",would have liked see sort breakfast offer would not pay normal street price within hotel read read less,Neutral
509,Paris,le petit dej cher et pas top fade sans aucun goût par rapport aux navette pour disney attendu 1 heure alor quon nous avait dit que ça passait tous les 30 min les chambre sont froide eu un peu froid et il ny avait pas de couvertures supplémentaire read read less,Neutral
510,"Lake alfred, us",family friendly property beautiful read read less,Positive
511,"Reno, Nevada",lobby nice along fresh hot coffee item available purchase would nice healthy option addition item get lose travel toothbrush toothpaste read read less,Positive
512,"Los Angeles, CA",nice place restaurant nice read read less,Positive
513,"Mukilteo, WA",love stay bed comfy shuttle ticket shuttle sell onsite within walk distance restaurant shop staff friendly hotel clean read read less,Positive
514,"Orlando, fl",get right sea world tire look nice place rest soon get take kid straight bathroom bathe find hair tub tub also clog water would not come take bed get dress find make sheet place nasty look dirty around read read less,Neutral
515,Spokane WA,open outdoorsy room clean stylish decor read read less,Neutral
516,"Halifax, N.S.",convenient close everything tiny date room extra 3500 day charge phone gym etc whether want extra charge coffee machine anything room read read less,Neutral
517,"State College, PA",convenient location arrive penn station stay want go jfk hotel great location make travel connection read read less,Positive
518,Miami Beach,basic hotel disney property good price read read less,Neutral
519,"Los ángeles , us",like everything clean staff friendly shampoo conditioner etc shower read read less,Positive
520,Stroudsburg Pa US,customer service cleanliness staff professional assisted needede read read less,Neutral
521,"Birmingham, al",checkin take long room view room clean hot water buy disney tickets hotel expedia representative give -PRON- wrong ticket number link fadtpass cause -PRON- wait extra long park try get help hotel keep get excuse could help tell would talk person buy wife get sick eat pool side restaurant read read less,Neutral
522,Lubbock tx,love stay beautiful view room wonderfully clean room pool fun read read less,Positive
523,Miami,small bed hot water go one day slow elevator housekeep average great pool nice character breakfast close disney spring read read less,Positive
524,Milwaukee,many extra charge check book hotelscom think charge hotel able get refunded bug carpet wall room hot water first day probably will not stay read read less,Neutral
525,"wGreeashin
 
 Greendale",like handicap room terrible shower soap fill next day wash clothe read read less,Neutral
526,NorCal,alex front desk awesome make process easy treat like family -PRON- would recommend location anyone read read less,Positive
527,Maine,friendly staff convenient location great view read read less,Positive
528,Saratoga Springs NY,hotel nice conveniently locate midtown one word warning room little smallish expect nyc hope stay read read less,Positive
529,"Miami, fl",check hot water wait whole night take hot shower read read less,Neutral
530,Windsor CA,pool amazing room outdate room service good wish available restaurant upstairs ok limited read read less,Positive
531,South Florida,close disney spring great bad room get water first due leak repair also toilet work get room correct overall kid like -PRON- be good read read less,Positive
532,"Glasgow, UK",stay wyndham garden chinatown 13th 20th march 2019 can not rate highly enough first time stay midtown wary first read excellent review give try would never stay anywhere else new york hotel one everything room staff service rooftop bar beyond word would recommend hotel anyone look perfect accommodation perfect location new york read read less,Positive
533,New Hampshire,room small breakfast option would nice read read less,Neutral
534,Jacksonville fl,arrive work day go take shower hot water call desk say -PRON- have issue due construction problem upset tell check take cold shower get ready go night next morning wake housekeep knock 830am do not make door fast enough open door key ask -PRON- be check say 11 check ask compensate hot water tell 28 back card disappoint read read less,Negative
535,"Westmont, IL, us",room hotel extremely small room king sized bed pull couch supposedly sleep 4 be not near enough storage space unpack 2 let alone 4 be not actual closet room able hang wear next day basically live suitcase say staff friendly efficienttrue disney form although do not use pool look lovely disney spring easy walk great place kid adultsa huge bonus location read read less,Positive
536,"Merlin, Oregon, us",make reservation deluxe 2 bed room get believe handicap 2 bed room reason say shower make could roll step floor sunken water would drain also ask woman leave deluxe room state oh make reservation 3rd party say yes state well get 2 bed room do not believe deluxe room wall paper start come bathroom small room happy camper thank read read less,Positive
537,Fort Collins,hotel staff pleasant helpful gracious much enjoy room awesome view empire state building madison square garden one world trade center hotel great location read read less,Positive
538,NJ,great convenient location room clean friendly staff read read less,Positive
539,Atlanta,checkin quick try immediately sell -PRON- reduce ticket disney read read less,Neutral
540,"Melbourne, FL",free parking pay 25 dollar every night stay read read less,Neutral
541,American Canyon Ca,friendly environment friendly staff convenient location read read less,Positive
542,"Galloway, NJ",super clean hotel friendly staff lot read read less,Positive
543,"Parker, Colorado",like fact charge additional parking fee 2343 vacationer choose vehicle top resort fee 3200 look additional 55 fee stay ridiculous read read less,Neutral
544,"Sacramento, California",free shuttle service san jose airport hotel middle night great beautiful pool garden area nice breakfast restaurant inside be not complementary tasty worth read read less,Positive
545,CLERMONT-FD,superbe établissement et bien placé au sud de nyc seul bémol pas de petit déjeuner alor quil est précisé pd inclus dans la présentation cétait un de nos critère de sélection read read less,Neutral
546,RI,room fine need bit dated tv do not work call staff member suppposrd come fix never show read read less,Neutral
547,Southwick us,feel drink pool price size drink -PRON- have never experience drink plastic cup 8 oz especially freeze drink shower head low read read less,Neutral
548,"Chino Hills, us",well expect comfy bed friendly staff bar restaurant excellent back read read less,Positive
549,NC,first time hotel really check 3 pm late travel need rest important interview finally 3 pm give key room temperature outside temperature 40 try everything heat system 30 minute end give front desk lady start tell -PRON- would wait service guy 30 minute sunday tell interview really need relax first time look encounter hallelujah finally agree change room room absolutely soundproof business neighbor sex yell other elevator button dirty get sick look go back hotel treat people decently read read less,Positive
550,"Hawaii, us",short staffed valet service pay morning maintenance staff wekend read read less,Neutral
551,Las Vegas NV,nice quiet close everything need -PRON- would love stay read read less,Positive
552,San Diego,friendly professional staff enjoy stay greatly bathroom sink smell rancid overall room clean comfortable definitely return recommend hotel read read less,Positive
553,"fond du lac, WI",property clean staff friendly shutter service nicethere usb outlet room tv remote function take 2 half hour technician come still solve problem shower water smell muddy read read less,Positive
554,Modesto ca,handicap room suck hate shower hate hate room read read less,Negative
555,"Davie, FL",property update plastic wood floor extremely dirty kid foot black bath tub water stain floor hear people walk room upstairs night long mattress wedge middle expect much well wyndham read read less,Neutral
556,Montréal,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee read read less,Neutral
557,"Portland, OR",friendly helpful staff clean do not like pay breakfast do not realize bar across parking lot fruit juice coffee toast 12 give 12 different breakfast expensive get coffee 3 addon meal way read read less,Positive
558,Florida,hairdryer room front desk say would bring hour never find housekeeping hallway take one another room bathroom outlet work read read less,Neutral
559,"San Francisco, CA",room small there s restaurant property read read less,Neutral
560,BOSTON,hotel conveniently locate 2 minute walk madison square garden -PRON- be event recommend stay read read less,Neutral
561,"Las Vegas, NV",get room notice curtain do not shut way little bothersome since travel work huge issue window look roof top nobody could really see large issue several personal item miss room get back evening frustrating travel work easy get touch front desk manager finally state would reimburse miss item fun read read less,Neutral
562,Arizona,great time go far corona del mar great read read less,Positive
563,Palm Bay FL,main pool close two people tell different price do not like hotel fee per day per room top hotel rate read read less,Neutral
564,"Queretaro , mx",kind attendant can not room 300pm kindly announce good follow read read less,Positive
565,spring hill fl,hotel misrepresent self room old motel typ section look dumpster 200 night far well place stay orlando read read less,Neutral
566,St Barth,property 5 mn walk distance disney spings shuttle service disney parks bus every 30 minute plus room 2 bed small aged thing disappointing everyday room clean sure spend 5 mn one day come back park 4 pm room be not make have not pool read read less,Neutral
567,Florida,overall nice property three room book expedia would much rather place hotel part instead place motel area door open outside something try avoid hotel -PRON- be wonder anything -PRON- use expedia like walk next door disney spring read read less,Neutral
568,Mission,do not tell old part hotel main building send old part instead send motel 6 like part veryyyy dishonest image show beware read read less,Neutral
569,California,excellent breakfast area great staff attend room could wipe well something crusty desktv area trash dent like someone kick electric outlet work hallway dirty could use good wipe smear stainless steel wall area read read less,Positive
570,New York,do not give money back front desk rude read read less,Neutral
571,Woodbury us,convenient location noise level surround area high hard sleep read read less,Neutral
572,"Vancouver, BC",everything good bed mattress soft room temperature little bit low also extra quilt available read read less,Neutral
573,Toronto,location good front desk be not accommodate read read less,Neutral
574,NY,work hotel chill understand person stay two night ok nothing special big stump trip emergency electricity outage never aware force stay later room ac light staff average many thing expectation hate person leave bad review be not impressed amazing time read read less,Negative
575,"Birmingham, AL, US",property lot neat amentitie room short smell like smok nonsmoke room also worker rude charge ton hide fee prepare read read less,Neutral
576,SAO PAULO,conforto hotel excelente wifi e chuveiro ruins read read less,Neutral
577,"West Des Moines, IA",step away disney spring clean spacious room easily accessible lobby pool parking area encounter friendly staff everywhere pleased food option comfortable lobby area wait arrive hour checkin want leave bag bellman delivery room complaint pay self parking lot always full utilize valet instead read read less,Positive
578,Reading pa,close disney spring clean room pool area great read read less,Positive
579,Massachusetts,enjoy stay would certainly stay would recommend would suggest cleaning room double bed small comfortable ant room closet space small pool really nice kid love food delicious buffet breakfast everyday good store lobby open 24hours convenient especially child need snack milk staff friendly bus park come every half hour feel like stay disney hotel love color theme character breakfast read read less,Positive
580,Montreal,nice landscape pool repair state drinkable complimentary coffee like dedication personnel read read less,Positive
581,Orlando florida,floor room 510 nasty look like month body clean read read less,Neutral
582,"Tampa, US",amazing staff helpful accomodating location read read less,Positive
583,Jackson nj,family love pool location super convenient even thing non disney read read less,Positive
584,Flirida,pool great age splash playground little kid read read less,Positive
585,"Georgia, us",clean new close restaurant staff friendly read read less,Positive
586,"sacramento, ca",property sophisticated staff decoration amenitie overall look love stay read read less,Positive
